,PC1,PC2,group
M-M-01,-3.198202137034945,-14.633546638585168,Parkinson_disease
M-M-02,2.3591845125121225,19.08419744907722,Old_adult
M-M-04,-19.993322461680776,-11.149128703018706,Parkinson_disease
M-M-06,5.346514594059374,-7.482890302350656,Old_adult
M-M-08,10.937883169917338,-20.042219444538002,Parkinson_disease
M-M-10,16.78419174045955,-0.9719232732142388,Old_adult
M-M-12,-7.000739268700084,0.4050792628394949,Parkinson_disease
M-M-14,14.966788631418895,6.3641715807395896,Old_adult
M-M-16,-12.28369265597619,-13.669039155288502,Parkinson_disease
M-M-18,-14.865539115213911,-3.705938435433315,Old_adult
M-M-20,-17.371852570770063,-5.832415834171982,Parkinson_disease
M-M-22,4.402510583761481,11.54126155783701,Old_adult
M-M-24,-6.840970488567317,0.6964988317188174,Parkinson_disease
M-M-25,-15.3436414936765,24.67317006609093,Old_adult
M-M-27,19.042674716783235,19.87271214767376,Parkinson_disease
M-M-28,-6.051191764102259,-8.781992886911283,Old_adult
M-M-30,9.920730646488668,-14.674024662613526,Parkinson_disease
M-M-31,21.394390703594425,15.660032268316828,Old_adult
M-M-33,-23.061626633743906,7.782971390124194,Parkinson_disease
M-M-34,-11.768791080974761,15.707343826035721,Old_adult
M-M-36,9.830741593272059,-19.395044508639707,Parkinson_disease
M-M-37,46.041581474905456,-2.6281579680780007,Old_adult
M-M-39,-3.870296970302259,-2.938343860522248,Parkinson_disease
M-M-40,-19.377325726429564,4.117227292911755,Old_adult
