Gene,logFC,P.Value,adj.P.Val,HGNC,Entrez,description,Gene_clean
ENSG00000178922,1.96704918817378,8.38030402094061e-08,7.21243289533798e-05,HYI,81888.0,hydroxypyruvate isomerase (putative) [Source:HGNC Symbol;Acc:HGNC:26948],ENSG00000178922
ENSG00000215126,1.53719241588264,8.7560779276402e-08,7.21243289533798e-05,CBWD6,644019.0,COBW domain containing 6 [Source:HGNC Symbol;Acc:HGNC:31978],ENSG00000215126
ENSG00000177291,0.945106437882796,1.64386234946298e-07,0.0001278833582196,GJD4,219770.0,gap junction protein delta 4 [Source:HGNC Symbol;Acc:HGNC:23296],ENSG00000177291
ENSG00000254772,4.336922364756,2.92711175165923e-07,0.0002157281360972,EEF1G,1937.0,eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213],ENSG00000254772
ENSG00000115194,1.96210872075345,3.30800303592409e-07,0.0002316098325602,SLC30A3,7781.0,solute carrier family 30 member 3 [Source:HGNC Symbol;Acc:HGNC:11014],ENSG00000115194
ENSG00000183260,1.22234485877341,3.7342465521019e-07,0.0002441877014911,ABHD16B,140701.0,abhydrolase domain containing 16B [Source:HGNC Symbol;Acc:HGNC:16128],ENSG00000183260
ENSG00000187094,1.53639426695293,3.83641322059873e-07,0.0002441877014911,CCK,885.0,cholecystokinin [Source:HGNC Symbol;Acc:HGNC:1569],ENSG00000187094
ENSG00000237651,1.24994185868612,4.9165709325279e-07,0.0002993336642095,C2orf74,339804.0,chromosome 2 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:34439],ENSG00000237651
ENSG00000254402,2.02763261836107,7.74938303660744e-07,0.00045214421109,LRRC24,441381.0,leucine rich repeat containing 24 [Source:HGNC Symbol;Acc:HGNC:28947],ENSG00000254402
ENSG00000104888,2.80073092387846,9.82777299370084e-07,0.0005504732209231,SLC17A7,57030.0,solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704],ENSG00000104888
ENSG00000176020,0.933760092350628,1.33304330704955e-06,0.000717946362639,AMIGO3,386724.0,adhesion molecule with Ig like domain 3 [Source:HGNC Symbol;Acc:HGNC:24075],ENSG00000176020
ENSG00000011083,1.05629722316151,1.59363437370042e-06,0.0008265060049972,SLC6A7,6534.0,solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054],ENSG00000011083
ENSG00000171532,1.14668892916225,2.03028493172642e-06,0.0010153599963916,NEUROD2,4761.0,neuronal differentiation 2 [Source:HGNC Symbol;Acc:HGNC:7763],ENSG00000171532
ENSG00000204172,1.41367236239734,2.22201677796778e-06,0.0010729276186856,AGAP9,642517.0,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9 [Source:HGNC Symbol;Acc:HGNC:23463]",ENSG00000204172
ENSG00000234857,3.51530857145556,2.54570804708573e-06,0.0011882516594447,HNRNPUL2,,Nonsense-mediated mRNA decay (NMD) Candidate alsorare movement disorders,ENSG00000234857
ENSG00000270181,2.84251617313967,5.072584871632e-06,0.0022333182486158,BIVM-ERCC5,100533467.0,BIVM-ERCC5 readthrough [Source:HGNC Symbol;Acc:HGNC:43690],ENSG00000270181
ENSG00000186891,0.930835882337993,5.25769324253974e-06,0.0022333182486158,TNFRSF18,8784.0,TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914],ENSG00000186891
